DLUOutputFile.csv,,Core 2,,
,Timestamp,Train speed,Train speed E1,Train speed E2
22.06.2022.11h08-11h18.8002c0_0001447129,2022-06-22 11:08:45.8,0.00,0.00,0.00
,2022-06-22 11:08:56.1,-1.15,-1.15,1.15
,2022-06-22 11:08:56.2,-1.40,-1.40,1.40
,2022-06-22 11:08:56.3,-1.80,-1.80,1.80
,2022-06-22 11:08:56.4,-2.16,-2.16,2.16
,2022-06-22 11:08:56.5,-2.56,-2.56,2.56
,2022-06-22 11:08:56.6,-2.92,-2.92,2.92
,2022-06-22 11:08:56.7,-3.31,-3.31,3.31
,2022-06-22 11:08:56.8,-3.64,-3.64,3.64
,2022-06-22 11:08:56.9,-3.96,-3.96,3.96
,2022-06-22 11:08:57.0,-4.25,-4.25,4.25
,2022-06-22 11:08:57.1,-4.57,-4.57,4.57
,2022-06-22 11:08:57.2,-4.93,-4.93,4.93
,2022-06-22 11:08:57.3,-5.29,-5.29,5.29
,2022-06-22 11:08:57.4,-5.65,-5.65,5.65
,2022-06-22 11:08:57.5,-6.01,-6.01,6.01
,2022-06-22 11:08:57.6,-6.37,-6.37,6.37
,2022-06-22 11:08:57.7,-6.73,-6.73,6.73
,2022-06-22 11:08:57.8,-7.09,-7.09,7.09
,2022-06-22 11:08:57.9,-7.45,-7.45,7.45
,2022-06-22 11:08:58.0,-7.78,-7.78,7.78
,2022-06-22 11:08:58.1,-8.14,-8.14,8.14
,2022-06-22 11:08:58.2,-8.50,-8.50,8.50
,2022-06-22 11:08:58.3,-8.86,-8.86,8.86
,2022-06-22 11:08:58.4,-9.18,-9.18,9.18
,2022-06-22 11:08:58.5,-9.50,-9.50,9.50
,2022-06-22 11:08:58.6,-9.83,-9.83,9.83
,2022-06-22 11:08:58.7,-10.19,-10.19,10.19
,2022-06-22 11:08:58.8,-10.55,-10.55,10.55
,2022-06-22 11:08:58.9,-10.91,-10.91,10.91
,2022-06-22 11:08:59.0,-11.27,-11.27,11.27
,2022-06-22 11:08:59.1,-11.63,-11.63,11.63
,2022-06-22 11:08:59.2,-11.95,-11.95,11.95
,2022-06-22 11:08:59.3,-12.31,-12.31,12.31
,2022-06-22 11:08:59.4,-12.67,-12.67,12.67
,2022-06-22 11:08:59.5,-13.03,-13.03,13.03
,2022-06-22 11:08:59.6,-13.36,-13.36,13.36
,2022-06-22 11:08:59.7,-13.72,-13.72,13.72
,2022-06-22 11:08:59.8,-14.04,-14.04,14.04
,2022-06-22 11:08:59.9,-14.40,-14.40,14.40
,2022-06-22 11:09:00.0,-14.72,-14.72,14.72
,2022-06-22 11:09:00.1,-15.08,-15.08,15.08
,2022-06-22 11:09:00.2,-15.41,-15.41,15.41
,2022-06-22 11:09:00.3,-15.73,-15.73,15.73
,2022-06-22 11:09:00.4,-16.09,-16.09,16.09
,2022-06-22 11:09:00.5,-16.45,-16.45,16.45
,2022-06-22 11:09:00.6,-16.78,-16.78,16.78
,2022-06-22 11:09:00.7,-17.14,-17.14,17.14
,2022-06-22 11:09:00.8,-17.46,-17.46,17.46
,2022-06-22 11:09:00.9,-17.82,-17.82,17.82
,2022-06-22 11:09:01.0,-18.18,-18.18,18.18
,2022-06-22 11:09:01.1,-18.54,-18.54,18.54
,2022-06-22 11:09:01.2,-18.86,-18.86,18.86
,2022-06-22 11:09:01.3,-19.19,-19.19,19.19
,2022-06-22 11:09:01.4,-19.55,-19.55,19.55
,2022-06-22 11:09:01.5,-19.87,-19.87,19.87
,2022-06-22 11:09:01.6,-20.16,-20.16,20.16
,2022-06-22 11:09:01.7,-20.48,-20.48,20.48
,2022-06-22 11:09:01.8,-20.88,-20.88,20.88
